ChemicalName,Rating
12-Hexanediol,Good
10-HydroxydecanoicAcid,Good
4-T-butylcyclohexanol,Good
Acaciafarnesianaextract,Poor
acaciasenegalgum,Good
acai,Best
acerolafruitextract,Good
aceticacid,Poor
acetone,Poor
acetylatedcastoroil,Good
acetylatedhydrogenatedcottonseedglyceride,Good
acetylatedlanolin,Good
acetylatedlanolinalcohol,Good
acetylatedpalmkernelglycerides,Good
acetylcarnitineHCL,Best
acetylglucosamine,Best
acetylglycerylricinoleate,Good
acetylhexapeptide-8,Good
acetyloctapeptide-3,Good
acetyltetrapeptide-5,Best
acetyltributylcitrate,Average
acetyltyrosine,Good
Achilleamillefolium,Poor
acid,Average
acnesoap,Poor
acrylate,Good
acrylates/C10-30alkylacrylatecrosspolymer,Good
acrylates/dimethiconecopolymer,Good
acrylates/steareth-20methacrylatecopolymer,Good
acrylatescopolymer,Good
Actaearacemosa,Average
Actinidiachinensis(kiwifruit)extract,Best
adenosine,Best
adenosinephosphate,Best
adenosinetriphosphate,Best
adipicacid/neopentylglycol/trimelliticanhydridecopolymer,Good
advancedglycationendproduct(AGE),Poor
Aerocarpussantalinus,Poor
Aesculushippocastanum,Good
agar,Good
AGE,Poor
Agrimoniaeupatorialeafextract,Average
AHA,Best
Ahnfeltiaconcinnaextract,Good
ahnfeltiaextract,Good
Ahnfeltiopsisconcinnaextract,Good
alanine,Good
Alariaesculenta,Good
albumin,Poor
alcloxa,Poor
alcohol,Average
Aleuritesmoluccanaseedoil,Best
alfalfaextract,Best
algae,Good
algaeextract,Good
algin,Good
aliphatichydrocarbon,Good
alkaline,Poor
alkyloamides,Average
allantoin,Best
allylmethacrylatescrosspolymer,Good
almond/borage/linseed/oliveacidsglycerides,Best
almondoil,Best
Aloebarbadensis,Good
aloebarbadensisleafjuiceextract,Good
aloebarbadensisleafjuicepowder,Good
aloeextract,Good
aloejuice,Good
aloevera,Good
alphabisabolol,Best
alphaglucanoligosaccharide,Best
alphahydroxyacid,Best
alphaisomethylionone,Poor
alphalipoicacid,Best
alpha-tocopherol,Best
Alteromonasfermentextract,Good
Althaearosea,Good
Altheaofficinalis,Best
alumina,Good
aluminum,Good
Aluminumhydroxide,Good
aluminummagnesiumsilicate,Good
aluminumpowder,Good
aluminumsilicate,Good
aluminumstarchoctenylsuccinate,Good
aluminumstearate,Good
aluminumsulfate,Poor
aminoacid,Best
aminobutyricacid,Average
aminomethylpropanediol,Good
aminomethylpropanol,Good
ammoniumacryloyldimethyltaurate/VPcopolymer,Good
ammoniumchloride,Poor
ammoniumglycolate,Best
ammoniumhydroxide,Average
ammoniumlaurethsulfate,Good
ammoniumlaurylsulfate,Good
amodimethicone,Good
amygdalicacid,Good
amylcinnamate,Poor
amylsalicylate,Poor
amyrisoil,Poor
Anacycluspyrethrum,Poor
Anacystisnidulansextract,Good
Ananassativusfruitextract,Good
Anastaticahierochunticaextract,Best
andirobaoil,Good
Anethumgraveolens,Average
Angelicaarchangelicarootoil,Poor
Angelicapolymorphasinensisrootextract,Poor
anhydroxylitol,GOOD
anisaldehyde,Poor
anise,Poor
annatoextract,Good
Anthemisnobilisflowerextract,Best
anthocyanin,Best
antioxidant,Best
applefruitextract,Best
apricotkernel,Average
apricotkerneloil,Best
arachidicacid,Good
arachidylalcohol,Good
arachidylglucoside,Good
arachidylpropionate,Good
Arachishypogaeaextract,Best
arbutin,Best
Arctiumlappa,Best
Arctiummajus,Best
Arctostaphylosuvaursileaf,Best
Arganiaspinosa,Best
Arganiaspinosakerneloil,Best
arganoil,Best
arginine,Good
Argireline,Good
arnicaextract,Poor
aroma/flavor,Average
arrowroot,Average
artemiaextract,Good
Artemisiaabsinthiumextract,Average
Artemisiavulgaris,Average
Ascophyllumnodosum,Good
ascorbicacid,Best
ascorbylglucosamine,Best
ascorbylglucoside,Best
ascorbylmethylsilanolpectinate,Best
ascorbylpalmitate,Best
asparagine,Good
Asparagopsisarmataextract,Good
asparticacid,Good
astaxanthin,Best
astaxanthinextract,Best
Astragalusmembranaceus,Best
Astragalussinicus,Good
Astrocaryummurumuruseedbutter,Good
ATP,Best
atractylodesmacrocephalarootpowder,Best
Atractyloydeslancearootextract,Average
Avenasativa,Best
avobenzone,Best
avocadooil,Best
awapuhi,Poor
Azadirachtaindica,Poor
azelaicacid,Best
azelaoylbis-dipeptide-10,Best
Azelex,Best
azukibeans,Average
azulene,Average
babassuoil,Good
bakuchiol,Good
balmmintextract,Poor
balsamperu,Poor
Bambusavulgaris(bamboo)leaf/stemextract,Best
bananaextract,Average
barberry,Best
bariumsulfate,Poor
barleyextract,Average
batylalcohol,Good
bayleafoil,Poor
bearberryextract,Good
beepollen,Poor
beeswax,Good
beetrootextract,Good
beheneth-5,Good
behenicacid,Good
behentrimoniumchloride,Good
behenylalcohol,Good
Bellisperennis,Poor
bentonite,Good
benzalkoniumchloride,Average
benzephenone-3,Good
benzoicacid,Good
benzoinextract,Poor
benzophenone,Good
benzothoniumchloride,Good
benzoylperoxide,Best
benzylalcohol,Good
benzylsalicylate,Poor
Berberisaristata,Best
bergamotoil,Poor
Bertholletiaexcelsaextract,Good
beta-carotene,Good
beta-glucan,Best
betahydroxyacid,Best
betaine,Good
betainesalicylate,Good
beta-sitosterol,Best
Betavulgarisrootextract,Good
Betulaalba,Good
BHA(betahydroxyacid),Best
BHT,Average
bifidafermentlysate,Good
bilberryextract,Good
bioflavonoid,Best
biotin,Good
birchbarkextract,Good
birchleafextract,Good
bisabolol,Best
bis-diglycerylpolyacyladipate,Good
bismuthoxychloride,Average
bis-PEG-18methyletherdimethylsilane,Good
bis-phenylpropyldimethicone,Good
bitterorangeflower,Poor
blackberry,Best
blackcohosh,Average
blackcurrantoil,Best
blackelderberry,Good
blacklocustextract,Poor
blackmulberry,Good
blackpepperextractandoil,Poor
blackraspberry,Best
blacktea,Best
bladderwrackextract,Best
bloodwort,Poor
blue1,Good
blue1lake,Good
Boerhaviadiffusarootextract,Best
boisderoseoil,Poor
boisoil,Poor
borageseedextract,Best
borageseedoil,Best
Boragoofficinalisextract,Best
Boragoofficinalisseedoil,Best
borate,Poor
borax,Poor
boricacid,Good
boronnitride,Good
Boswelliacarterii,Poor
Boswelliaserrataextract,Average
botanicals,Average
boysenberry,Best
Brassicacampestris,Best
Brazilnutextract,Good
broadspectrum,Good
bromelain,Good
bronopol,Poor
bronzepowder,Good
Buddlejadavidiiextract,Best
bumetrizole,Good
Bupleurumfalcatumextract,Average
burdockroot,Best
butylacetate,Good
butyleneglycol,Good
butylmethoxydibenzoylmethane,Best
butylparaben,Good
butylphenylmethylpropional,Poor
Butyrospermumfruit,Best
Butyrospermumparkii,Best
Butyrosperumparkii(shea)butterextract,Best
Buxuschinensis,Best
C10-30cholesterol/lanosterolesters,Best
C11-15pareth-7,Good
C12-15alkylbenzoate,Good
C12-16pareth-9,Good
C12-18acidtriglyceride,Good
C13-14isoparaffin,Good
C13-15alkane,Good
C18-36acidtriglyceride,Good
C20-40pareth-40,Good
caffeicacid,Best
caffeine,Average
cajeputioil,Poor
calamine,Poor
calciumaluminumborosilicate,Good
calciumascorbate,Best
calciumcarbonate,Good
calciumd-pantetheine-s-sulfonate,Good
calciumgluconate,Good
calciumpantothenate,Good
calendulaextract,Good
Calendulaofficinalisflowerextract,Good
Callunavulgarisflowerextract,Best
Calophylluminophyllumseedoil,Good
Camelliajaponica,Best
Camelliaoleifera,Best
Camelliasinensis,Best
camphor,Poor
canangaextract,Poor
Canangaodorata,Poor
candelilla/jojoba/ricebranpolyglyceryl-3esters,Best
candelillawax,Good
CannabissativaL.oil,Good
canolaoil,Best
caprooylphytosphingosine,Best
caprooylsphingosine,Best
caprooyltetrapeptide-3,Best
caprylic/caprictriglyceride,Best
capryloylglycerin/sebacicacidcopolymer,Good
capryloylglycine,Good
caprylylcaprylate/caprate,Good
caprylylglycol,Good
caprylylmethicone,Good
capsaicin,Poor
capsicum,Poor
capsicumoleoresin,Poor
caramel,Good
carbomer,Good
carbopol,Good
carboxylicacid,Best
cardamom,Poor
carmine,Good
carnaubawax,Good
carnitine,Best
carnosicacid,Best
carnosine,Best
carnosolacid,Best
carrageenan,Good
carrotoil,Best
Carthamustinctoriusoil,Best
carvone,Poor
Caryaillinoensisoil,Good
casein,Good
Castaneasativaseedextract,Good
castorisostearatesuccinate,Good
castoroil,Good
catalase,Best
Caulerpataxifoliaextract,Good
cedarwood,Poor
Cedrusatlanticabarkextract,Poor
cellulose,Good
Cellulosegum,Good
Centaureacyanus,Best
Centellaasiatica,Best
cephalin,Best
Ceraalba,Good
ceramicrocristallina,Good
ceramideAP,Best
ceramideEOP,Best
ceramideEOS,Best
ceramideNG,Best
ceramideNP,Best
ceramideNS,Best
ceramides,Best
ceresin,Good
ceteareth-20,Good
ceteareth-25,Good
ceteareth-6olivate,Good
cetearylalcohol,Good
cetearylethylhexanoate,Good
cetearylglucoside,Good
cetearyloctanoate,Good
cetearylolivate,Good
cetylacetate,Good
cetylalcohol,Good
cetyldimethicone,Good
cetyldimethiconecopolyol,Good
cetylesters,Good
cetylhydroxyethylcellulose,Good
cetylpalmitate,Good
cetylPEG/PPG-10/1-dimethicone,Good
chamomile,Best
Chamomillarecutitaflowerextract,Best
charcoal,Good
charcoalpowder,Good
chelatingagent,Good
cherryextract,Best
Chinaclay,Good
chitosan,Best
chlorella,Good
chlorophene,Good
chloroxylenol,Good
chlorphenesin,Good
cholecalciferol,Good
cholesterol,Best
choline,Best
chondroitinsulfate,Best
Chondruscrispus,Good
chromiumhydroxidegreen,Good
chromiumoxidegreen,Good
chrysanthemumextract,Average
Chrysanthemumpartheniumextract,Average
Cichoriumintybus,Good
Cimicifugaracemosarootextract,Average
Cinnamomum,Poor
Cinnamomumcamphora,Poor
cinnamon,Poor
cinnamylalcohol,Poor
citratebuffer,Good
citricacid,Good
citronellol,Poor
Citrulluscolocynthis,Poor
Citrusamara,Poor
Citrusaurantifolia,Poor
Citrusaurantium,Poor
Citrusaurantiumextract,Poor
Citrusmedicalimonium,Poor
Citrusunshiu,Average
Citrusunshiupeelextract,Average
claryoil,Poor
clarysage,Good
clay,Good
cloveleaf,Poor
cloveoil,Poor
cloverblossom,Poor
cloverleafoil,Poor
cocamideDEAandMEA,Average
cocamidopropylbetaine,Good
cocamidopropyldimethylamine,Good
cocamidopropylhydroxysultaine,Good
cocoabutter,Best
cocoaextract,Best
coco-glucoside,Good
cocoglycerides,Good
coconut,Good
coconutacid,Good
coconutoil,Best
cocosnucifera(coconut)fruitextract,Best
cocoylproline,Good
Cocusnucifera,Best
Codiumtomentosumextract,Good
coenzymeQ10,Best
Coffeaarabica(coffee)fruitextract,Best
Coffeaarabica(coffee)seedoil,Best
Coffeaarabicaseedextract,Best
Colaacuminataseedextract,Average
Coleusbarbatus,Poor
collagenaminoacids,Good
colloidaloatmeal,Best
colloidalsilver,Poor
comfreyextract,Poor
Commiphoramyrrhaextract,Poor
coneflower,Good
Copaiferaofficinalis,Poor
Coperniciaceriferawax,Good
coppergluconate,Good
copperlysinate/prolinate,Good
copperPCA,Good
copperpeptides,Good
coppersulfate,Average
Corallinaofficinalisextract,Good
coriander,Good
cornflower,Best
cornmint,Poor
cornoil,Best
cornstarch,Good
Cornusextract,Good
Corylusamericana,Good
Corylusavellana,Good
coumarin,Good
cranberryseedextract,Best
cranberryseedoil,Best
Crataegusmonoginaextract,Average
creatine,Best
cucumberextract,Good
Cucumismelo(melon)fruitextract,Best
Cucumissativusextract,Good
Cucurbitapeposeedextract,Best
Cucurbiteapeponis,Best
Curcumalongaroot,Best
curcumin,Best
Cyamopsistetragonoloba,Good
cyanocobalamin,Good
cyclamenaldehyde,Poor
cyclohexasiloxane,Good
cyclomethicone,Good
cyclopentasiloxane,Good
cyclotetrasiloxane,Good
Cymbopogoncitrates,Poor
Cymbopogonmartini,Poor
cysteine,Good
cystine,Good
D&C,Good
D&Ccolors,Good
daisyflowerextract,Poor
d-alpha-tocopherol,Best
Daucuscarota,Poor
DEAoleth-10phosphate,Good
decarboxycarnosineHCL,Best
decyleneglycol,Good
decylglucoside,Good
decyloleate,Good
dehydroaceticacid,Good
dehydroepiandrosterone,Average
deionized/demineralizedwater,Good
denaturedalcohol,Poor
deoxyribonucleicacid,Average
detergentcleansingagent,Good
deuteriumoxide,Average
dextran,Good
dextrin,Good
DHA,Good
diatomaceousearth,Average
diazolidinylurea,Average
dibutylphthalate,Average
dicaprylylcarbonate,Good
dicetylphosphate,Good
diethylhexylcarbonate,Good
diethylhexylmalate,Good
diethylhexylsyringylidenemalonate,Good
diheptylsuccinate,Best
dihydrocholeth-30,Good
dihydroxyacetone,Good
diisopropyladipate,Good
diisopropyldimerdilinoleate,Good
diisostearoyltrimethylolpropanesiloxysilicate,Good
diisostearyldimerdilinoleate,Good
diisostearylmalate,Good
diisostearylpolyglyceryl-3dimerdilinoleate,Good
dimerdilinoleyldimerdilinoleate,Good
dimethicone,Good
dimethicone/PEG-10/15crosspolymer,Good
dimethicone/vinyldimethiconecrosspolymer,Good
dimethiconecopolyol,Good
dimethiconecrosspolymer,Good
dimethiconol,Good
dimethylcapramide,Good
dimethylether,Poor
dimethylisosorbide,Good
dimethylMEA,Average
Dioscoreavillosaextract,Average
dipentaerythritylhexacaprylate/hexacaprate,Good
dipotassiumglycyrrhizate,Best
dipotassiumglycyrrhizinate,Best
dipotassiumphosphate,Good
di-PPG-3myristyletheradipate,Good
dipropyleneglycol,Good
disodiumcocoamphodiacetate,Good
disodiumcocoylglutamate,Good
disodiumdiglycerylphosphate,Good
disodiumEDTA,Good
disodiumglycerylphosphate,Good
disodiumlauraminopropionate,Good
disodiumlauriminodipropionatetocopherylphosphates,Good
disodiumrutinyldisulfate,Good
disteardimoniumhectorite,Good
DMAE,Average
DMDMhydantoin,Average
docosahexaenoicacid,Good
dogrose,Good
dogwood,Good
Dromiceiusoil,Good
dulse,Good
Dunaliellasalinaextract,Best
durian,Good
Durvillaeaantarcticaextract,Good
ecamsule,Best
Echiumplantagineumseedoil,Best
Ecliptaprostrataextract,Best
ectoin,Good
EDTA,Good
eggyolk,Best
eicosapentaenoicacid,Best
Elaeisguineensis,Best
elderberry,Good
elecampane,Poor
ellagicacid,Best
emollient,Good
emulsifier,Good
emuoil,Good
Englishivyextract,Poor
Enteromorphacompressaextract,Good
environmentaldamage,Poor
enzymes,Good
epigallocatechingallate,Best
Epilobiumangustifoliumextract,Best
Equisetumarvense,Poor
ergocalciferol,Good
ergothioneine,Best
Eriobotryajaponica,Best
erythrulose,Good
esculin,Poor
essentialoil,Poor
ester,Good
Ester-C,Best
ethanol,Poor
ethoxydiglycol,Good
ethylalcohol,Poor
ethylhexanediol,Average
ethylhexylglycerin,Good
ethylhexylmethoxycinnamate,Best
ethylhexylolivate,Best
ethylhexylpalmitate,Good
ethylhexylstearate,Good
ethylmacadamiate,Good
ethylparaben,Good
ethylvanillin,Good
eucalyptusextract,Poor
eucalyptusoil,Poor
Eugeniaaromatica,Poor
Eugeniacaryophyllus,Poor
eugenol,Poor
Euphorbiaceriferawax,Good
Euphrasiaofficinalis,Average
Euterpeoleracea(acai)sterols,Best
Euterpeoleraceafruitextract,Best
eveningprimroseoil,Best
Evodiarutaecarpaextract,Good
Ext.D&C,Good
eyebright,Average
faex,Good
farnesol,Average
farnesylacetate,Average
fattyacid,Best
fattyalcohol,Good
FD&C,Good
FD&Ccolors,Good
fenneloil,Poor
fennelseedextract,Poor
ferricammoniumferrocyanide,Good
ferricferrocyanide,Good
Ferulagalbaniflua,Poor
ferulicacid,Best
feverfewextract,Good
fibronectin,Good
Ficuscaricafruitextract,Poor
fig,Poor
Filipendulaglaberrima,Best
Filipendularubra,Best
film-formingagent,Good
fireweedextract,Best
firneedleoil,Poor
fishcartilageextract,Average
flavonoid,Best
flavor,Average
flax,Best
flaxseedoil,Best
floralozone,Poor
Foeniculumvulgareextract,Poor
folicacid,Good
formaldehyde-releasingpreservative,Average
fragrance,Poor
frankincenseextract,Poor
fructose,Good
fruitacid,Average
Fucusvesiculosusextract,Best
Fuling,Best
fuller'searth,Good
galactoarabinan,Good
galbanum,Poor
gammalinolenicacid(GLA),Best
Ganodermalucidumextract,Average
Gardeniafloridaextract,Poor
gelatin,Good
gellangum,Good
Gellidielaacerosaextract,Good
genistein,Best
